SensorID,UniqueID,SensorName,Granularity,DataRetention,InstallationID,EquipmentID,SensorTypologyID,IsBidirectional,GetEndpoint,SetEndpoint,ShowGraph,GraphIndex,GraphTypologyID,GraphColor,GraphValue,MeasurementUnit,Multiplier,Offset,ThresholdLower,ThresholdUpper,SensorStatus
11,af085a26-9bfb-a9e9-0f72-4413f4387b18,CIA Energia Activa,900,NULL,1,NULL,1,0,,,1,1,5,3289C7,5,kWh,1,0,NULL,NULL,1
21,9e8ead4a-444d-3b63-027a-b97e73c7f791,CIA Energia Activa,900,NULL,2,NULL,1,0,,,1,2,5,3289C7,5,kWh,1,0,NULL,NULL,1
31,c160a70d-8cab-63cd-1572-837d18efa317,CIA Energia Activa,900,NULL,3,NULL,1,0,,,1,3,5,3289C7,5,kWh,1,0,NULL,NULL,1
41,93ec2747-09f5-9ded-0822-8c1cb392584b,CIA Energia Activa,900,NULL,4,NULL,1,0,,,1,4,5,3289C7,5,kWh,1,0,NULL,NULL,1
51,683f3535-ce60-11e9-9dab-fa163ed018d4,CIA Energia Activa,900,NULL,5,NULL,1,0,,,1,5,5,3289C7,5,kWh,1,0,NULL,NULL,1
61,ded8ef98-75ad-8e94-3f0e-37143ce6cf35,CIA Energia Activa,900,NULL,6,NULL,1,0,,,1,6,5,3289C7,5,kWh,1,0,NULL,NULL,1
71,5a32128e-0c0a-cc4d-b0f0-9d68a159c1fa,CIA Energia Activa,900,NULL,7,NULL,1,0,,,1,7,5,3289C7,5,kWh,1,0,NULL,NULL,1
81,d2845a7e-7f0d-11ea-b94f-fa163ed018d4,CIA Energia Activa,900,NULL,8,NULL,1,0,,,1,8,5,3289C7,5,kWh,1,0,NULL,NULL,1
91,dad76cbc-4d0f-26f7-994e-8410232b7d60,CIA Energia Activa,900,NULL,9,NULL,1,0,,,1,9,5,3289C7,5,kWh,1,0,NULL,NULL,1
101,af0a6931-d3a2-11e9-9dab-fa163ed018d4,CIA Energia Activa,900,NULL,10,NULL,1,0,,,1,10,5,3289C7,5,kWh,1,0,NULL,NULL,1
